refName,displayName,shortIdentifier
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(water_resistant)'water resistant',water resistant,water_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(ecologicalcertifications):item:name(leed)'LEED',LEED,leed
urn:cspace:core.collectionspace.org:vocabularies:name(electricalproperties):item:name(anti_static)'anti-static',anti-static,anti_static
urn:cspace:core.collectionspace.org:vocabularies:name(electricalproperties):item:name(electrical_resistivity_conductor)'electrical resistivity - conductor',electrical resistivity - conductor,electrical_resistivity_conductor
urn:cspace:core.collectionspace.org:vocabularies:name(electricalproperties):item:name(electrical_resistivity_insulator)'electrical resistivity - insulator',electrical resistivity - insulator,electrical_resistivity_insulator
urn:cspace:core.collectionspace.org:vocabularies:name(electricalproperties):item:name(electrical_resistivity_semiconductor)'electrical resistivity - semiconductor',electrical resistivity - semiconductor,electrical_resistivity_semiconductor
urn:cspace:core.collectionspace.org:vocabularies:name(energyunits):item:name(MJ_per_kg)'MJ/kg',MJ/kg,MJ_per_kg
urn:cspace:core.collectionspace.org:vocabularies:name(energyunits):item:name(tCO2)'tCO?',tCO?,tCO2
urn:cspace:core.collectionspace.org:vocabularies:name(entrymethod):item:name(foundondoorstep)'Found on doorstep',Found on doorstep,foundondoorstep
urn:cspace:core.collectionspace.org:vocabularies:name(entrymethod):item:name(inperson)'In person',In person,inperson
urn:cspace:core.collectionspace.org:vocabularies:name(entrymethod):item:name(post)'Post',Post,post
urn:cspace:core.collectionspace.org:vocabularies:name(examinationphase):item:name(aftertreatment)'after treatment',after treatment,aftertreatment
urn:cspace:core.collectionspace.org:vocabularies:name(examinationphase):item:name(beforetreatment)'before treatment',before treatment,beforetreatment
urn:cspace:core.collectionspace.org:vocabularies:name(examinationphase):item:name(duringtreatment)'during treatment',during treatment,duringtreatment
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(conservator)'Conservator',Conservator,conservator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(curator)'Curator',Curator,curator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(curatorialassistant)'Curatorial assistant',Curatorial assistant,curatorialassistant
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(educator)'Educator',Educator,educator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(exhibitdesigner)'Exhibit designer',Exhibit designer,exhibitdesigner
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(exhibitioncoordinator)'Exhibition coordinator',Exhibition coordinator,exhibitioncoordinator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(imagemediaresearcher)'Image/media researcher',Image/media researcher,imagemediaresearcher
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(preparator)'Preparator',Preparator,preparator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(publicist)'Publicist',Publicist,publicist
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(publicprogramscoordinator)'Public programs coordinator',Public programs coordinator,publicprogramscoordinator
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(webdesigner)'Web designer',Web designer,webdesigner
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionpersonrole):item:name(webdeveloper)'Web developer',Web developer,webdeveloper
urn:cspace:core.collectionspace.org:vocabularies:name(exhibitionreferencetype):item:name(catalog)'Catalog',Catalog,catalog
